
Library     Flags   Function
   [0037] [I...] DestroyWindow
   [0038] [I...] DialogBoxParamW
   [0039] [I...] DispatchMessageW
   [0040] [I...] DrawFocusRect
   [0041] [I...] DrawMenuBar
   [0042] [I...] DrawTextW
   [0043] [I...] EmptyClipboard
   [0044] [I...] EnableMenuItem
   [0045] [I...] EnableWindow
   [0046] [I...] EndDeferWindowPos
   [0047] [I...] EndDialog
   [0048] [I...] EndPaint
   [0049] [.D..] EnumDisplayMonitors
   [0050] [I...] EqualRect
   [0051] [I...] FillRect
   [0052] [I...] FindWindowW
   [0053] [I...] GetActiveWindow
   [0054] [I...] GetCapture
   [0055] [I...] GetCaretPos
   [0056] [I...] GetClassInfoW
   [0057] [I...] GetClassLongW
   [0058] [I...] GetClassNameW
   [0059] [I...] GetClientRect
   [0060] [I...] GetClipboardData
   [0061] [I...] GetCursorPos
   [0062] [I...] GetDC
   [0063] [I...] GetDCEx
   [0064] [I...] GetDesktopWindow
   [0065] [I...] GetDlgCtrlID
   [0066] [I...] GetDlgItem
   [0067] [I...] GetDoubleClickTime
   [0068] [I...] GetFocus
   [0069] [I...] GetForegroundWindow
   [0070] [I...] GetKeyNameTextW
   [0071] [I...] GetKeyState
   [0072] [I...] GetKeyboardLayout
   [0073] [I...] GetLastActivePopup
   [0074] [I...] GetMenu
   [0075] [I...] GetMenuCheckMarkDimensions
   [0076] [I...] GetMenuItemCount
   [0077] [I...] GetMenuItemID
   [0078] [I...] GetMenuItemInfoW
   [0079] [I...] GetMenuState
   [0080] [I...] GetMenuStringW
   [0081] [I...] GetMessagePos
   [0082] [I...] GetMessageTime
   [0083] [I...] GetMessageW
   [0084] [.D..] GetMonitorInfoW
   [0085] [I...] GetNextDlgGroupItem
   [0086] [I...] GetNextDlgTabItem
   [0087] [I...] GetParent
   [0088] [I...] GetPropW
   [0089] [I...] GetScrollInfo
   [0090] [I...] GetScrollPos
   [0091] [I...] GetScrollRange
   [0092] [I...] GetSubMenu
   [0093] [I...] GetSysColor
   [0094] [I...] GetSysColorBrush
   [0095] [I...] GetSystemMenu
   [0096] [ID..] GetSystemMetrics
   [0097] [I...] GetTabbedTextExtentA
   [0098] [I...] GetTabbedTextExtentW
   [0099] [I...] GetTopWindow
   [0100] [I...] GetWindow
   [0101] [I...] GetWindowDC
   [0102] [I...] GetWindowLongW
   [0103] [I...] GetWindowPlacement
   [0104] [I...] GetWindowRect
   [0105] [I...] GetWindowTextLengthW
   [0106] [I...] GetWindowTextW
   [0107] [I...] GetWindowThreadProcessId
   [0108] [I...] GrayStringW
   [0109] [I...] HideCaret
   [0110] [I...] InflateRect
   [0111] [I...] InsertMenuW
   [0112] [I...] IntersectRect
   [0113] [I...] InvalidateRect
   [0114] [I...] InvalidateRgn
   [0115] [I...] InvertRect
   [0116] [I...] IsCharAlphaNumericW
   [0117] [I...] IsCharLowerW
   [0118] [I...] IsCharUpperW
   [0119] [I...] IsChild
   [0120] [I...] IsClipboardFormatAvailable
   [0121] [I...] IsDialogMessageW
   [0122] [I...] IsIconic
   [0123] [I...] IsRectEmpty
   [0124] [I...] IsWindow
   [0125] [I...] IsWindowEnabled
   [0126] [I...] IsWindowUnicode
   [0127] [I...] IsWindowVisible
   [0128] [I...] IsZoomed
   [0129] [I...] KillTimer
   [0130] [I...] LoadAcceleratorsW
   [0131] [I...] LoadBitmapW
   [0132] [I...] LoadCursorW
   [0133] [I...] LoadIconW
   [0134] [I...] LoadMenuW
   [0135] [I...] LoadStringW
   [0136] [I...] LockWindowUpdate
   [0137] [I...] MapDialogRect
   [0138] [I...] MapVirtualKeyW
   [0139] [I...] MapWindowPoints
   [0140] [I...] MessageBeep
   [0141] [I...] MessageBoxW
   [0142] [I...] ModifyMenuW
   [0143] [.D..] MonitorFromPoint
   [0144] [.D..] MonitorFromRect
   [0145] [.D..] MonitorFromWindow
   [0146] [I...] MoveWindow
   [0147] [I...] OffsetRect
   [0148] [I...] OpenClipboard
   [0149] [I...] PeekMessageW
   [0150] [I...] PostMessageW
   [0151] [I...] PostQuitMessage
   [0152] [I...] PostThreadMessageW
   [0153] [I...] PtInRect
   [0154] [I...] RedrawWindow
   [0155] [I...] RegisterClassW
   [0156] [I...] RegisterClipboardFormatW
   [0157] [I...] RegisterWindowMessageW
   [0158] [I...] ReleaseCapture
